strategy,symbol,timeframe,mode,rr_cap,trade_count,resolved_count,wins,losses,win_rate,tp1_count,tp2_count,sl_count,net_r,profit_factor,expectancy,average_r,average_winning_r,average_losing_r,max_drawdown_r,max_consecutive_wins,max_consecutive_losses,outlier_dependency
Classic,EURUSD,M1,Baseline,,1112,1112,192,920,0.17266187050359713,168,24,920,913.9230278931313,1.9933945955360124,0.8218732265226001,0.8218732265226001,9.551682436943393,-1.0,141.74251441156275,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M1,Cap_5.0,,1112,1112,192,920,0.17266187050359713,168,24,920,-321.9000732077884,0.6501086160784904,-0.28947848310052915,-0.28947848310052915,3.1151037853761006,-1.0,334.03299722390165,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M1,Cap_4.0,,1112,1112,192,920,0.17266187050359713,168,24,920,-377.5217245414983,0.5896502994114149,-0.339497953724369,-0.339497953724369,2.825407684679695,-1.0,378.92376366856666,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M1,Cap_3.0,,1112,1112,192,920,0.17266187050359713,168,24,920,-447.302436238019,0.5138016997412836,-0.40225039230037685,-0.40225039230037685,2.461966477926983,-1.0,448.6557368556573,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M1,Cap_2.5,,1112,1112,192,920,0.17266187050359713,168,24,920,-494.69680202252897,0.46228608475812083,-0.44487122484040376,-0.44487122484040376,2.2151208227993275,-1.0,496.05010264016727,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M1,Cap_2.0,,1112,1112,192,920,0.17266187050359713,168,24,920,-552.0096684235303,0.39998949084398905,-0.4964115723233187,-0.4964115723233187,1.9166163102941134,-1.0,553.0096684235303,4,38,High R-Multiple Sensitivity
Classic,EURUSD,M5,Baseline,,939,939,152,787,0.16187433439829607,138,14,787,1998.2864672161252,3.5391187639340855,2.128100604064031,2.128100604064031,18.324253073790295,-1.0,79.58167533740317,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M5,Cap_5.0,,939,939,152,787,0.16187433439829607,138,14,787,-337.8614045432549,0.570697071736652,-0.3598098024954791,-0.3598098024954791,2.9548591806364803,-1.0,345.9204088796603,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M5,Cap_4.0,,939,939,152,787,0.16187433439829607,138,14,787,-372.3511015956467,0.526872806104642,-0.3965400442978133,-0.3965400442978133,2.7279532789760075,-1.0,379.4101059320521,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M5,Cap_3.0,,939,939,152,787,0.16187433439829607,138,14,787,-421.832018766315,0.463999976154619,-0.4492353767479393,-0.4492353767479393,2.402420929168981,-1.0,427.3897843083874,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M5,Cap_2.5,,939,939,152,787,0.16187433439829607,138,14,787,-456.108247954115,0.42044695304432694,-0.48573828323121937,-0.48573828323121937,2.1769194213545084,-1.0,460.16601349618736,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M5,Cap_2.0,,939,939,152,787,0.16187433439829607,138,14,787,-498.46379667389755,0.36662795848297663,-0.5308453638699654,-0.5308453638699654,1.8982644955664647,-1.0,501.0245513935089,4,35,High R-Multiple Sensitivity
Classic,EURUSD,M15,Baseline,,242,242,45,197,0.1859504132231405,41,4,197,-50.05365103561181,0.7459205531187217,-0.20683326874219754,-0.20683326874219754,3.2654744214308487,-1.0,60.34232781457553,3,15,N/A (baseline non-positive)
Classic,EURUSD,M15,Cap_5.0,,242,242,45,197,0.1859504132231405,41,4,197,-62.913512343077045,0.6806420693244821,-0.2599731915003184,-0.2599731915003184,2.9796997257093985,-1.0,68.91843054813484,3,15,N/A (baseline non-positive)
Classic,EURUSD,M15,Cap_4.0,,242,242,45,197,0.1859504132231405,41,4,197,-72.65133312199033,0.6312115069949731,-0.300212120338803,-0.300212120338803,2.7633037084002146,-1.0,77.45936584252696,3,15,N/A (baseline non-positive)
Classic,EURUSD,M15,Cap_3.0,,242,242,45,197,0.1859504132231405,41,4,197,-88.11761433750165,0.55270246529187,-0.3641223732954614,-0.3641223732954614,2.419608570277741,-1.0,91.11761433750165,3,15,N/A (baseline non-positive)
Classic,EURUSD,M15,Cap_2.5,,242,242,45,197,0.1859504132231405,41,4,197,-99.11761433750165,0.4968649018400933,-0.4095769187500068,-0.4095769187500068,2.1751641258332963,-1.0,101.11761433750165,3,15,N/A (baseline non-positive)
Classic,EURUSD,M15,Cap_2.0,,242,242,45,197,0.1859504132231405,41,4,197,-111.49086487026273,0.4340565235012045,-0.4607060531829038,-0.4607060531829038,1.9002030028830503,-1.0,112.49086487026273,3,15,N/A (baseline non-positive)
Classic,EURUSD,M30,Baseline,,177,177,29,148,0.1638418079096045,28,1,148,-44.3507522593962,0.7003327550040799,-0.2505692218044983,-0.2505692218044983,3.5741119910553034,-1.0,44.85963720789159,2,20,N/A (baseline non-positive)
Classic,EURUSD,M30,Cap_5.0,,177,177,29,148,0.1638418079096045,28,1,148,-62.10592779450679,0.5803653527398192,-0.3508809479915638,-0.3508809479915638,2.961864558810111,-1.0,62.614812743002176,2,20,N/A (baseline non-positive)
Classic,EURUSD,M30,Cap_4.0,,177,177,29,148,0.1638418079096045,28,1,148,-67.41893722126196,0.5444666403968786,-0.38089795040260993,-0.38089795040260993,2.778657337197864,-1.0,67.92782216975735,2,20,N/A (baseline non-positive)
Classic,EURUSD,M30,Cap_3.0,,177,177,29,148,0.1638418079096045,28,1,148,-78.15943306558674,0.4718957225298193,-0.44157871788467085,-0.44157871788467085,2.408295411531492,-1.0,78.66831801408213,2,20,N/A (baseline non-positive)
Classic,EURUSD,M30,Cap_2.5,,177,177,29,148,0.1638418079096045,28,1,148,-85.0241095126184,0.4255127735633892,-0.4803622006362621,-0.4803622006362621,2.171582430599366,-1.0,85.53299446111379,2,20,N/A (baseline non-positive)
